stimCategory,responseKey,condition,subject,trialNum
2,2,4,6,1
2,2,4,6,2
1,2,1,6,3
1,1,4,6,4
1,1,4,6,5
2,2,3,6,6
1,1,4,6,7
2,2,2,6,8
2,1,3,6,9
2,1,1,6,10
2,2,1,6,11
2,2,2,6,12
2,2,2,6,13
2,2,3,6,14
1,1,3,6,15
1,1,3,6,16
2,2,3,6,17
1,1,4,6,18
1,1,1,6,19
2,2,2,6,20
1,1,4,6,21
2,2,3,6,22
1,2,3,6,23
1,1,4,6,24
2,1,3,6,25
2,2,1,6,26
2,1,1,6,27
2,2,2,6,28
2,1,3,6,29
1,1,1,6,30
2,2,3,6,31
2,2,4,6,32
1,2,3,6,33
1,1,1,6,34
2,1,3,6,35
2,1,1,6,36
1,1,2,6,37
1,2,1,6,38
1,1,3,6,39
1,1,2,6,40
2,2,4,6,41
2,1,1,6,42
1,1,2,6,43
1,1,3,6,44
2,2,1,6,45
1,2,1,6,46
2,2,1,6,47
2,2,2,6,48
2,2,3,6,49
2,2,4,6,50
1,1,4,6,51
2,2,4,6,52
2,2,3,6,53
1,1,2,6,54
1,2,1,6,55
2,2,3,6,56
1,1,4,6,57
1,1,4,6,58
2,2,2,6,59
2,2,1,6,60
1,1,2,6,61
1,1,3,6,62
1,1,2,6,63
1,2,3,6,64
2,2,4,6,65
2,2,4,6,66
1,2,1,6,67
2,2,1,6,68
2,2,2,6,69
2,2,1,6,70
1,1,4,6,71
2,2,4,6,72
1,1,4,6,73
2,2,2,6,74
2,2,2,6,75
2,1,1,6,76
1,1,2,6,77
1,1,2,6,78
2,2,2,6,79
2,1,1,6,80
1,1,2,6,81
2,2,3,6,82
1,2,3,6,83
1,1,1,6,84
1,1,2,6,85
1,1,4,6,86
1,1,3,6,87
1,1,4,6,88
1,2,1,6,89
2,1,3,6,90
2,2,1,6,91
1,1,3,6,92
2,2,4,6,93
1,1,2,6,94
1,1,2,6,95
2,2,4,6,96
1,1,2,6,97
1,1,1,6,98
2,2,2,6,99
2,2,1,6,100
1,2,3,6,101
2,2,4,6,102
2,2,1,6,103
1,1,1,6,104
2,2,3,6,105
1,1,4,6,106
2,2,2,6,107
2,2,3,6,108
2,2,4,6,109
1,2,3,6,110
2,1,1,6,111
1,1,2,6,112
1,1,2,6,113
2,2,2,6,114
2,1,3,6,115
2,2,2,6,116
2,2,4,6,117
2,2,4,6,118
2,1,3,6,119
1,1,2,6,120
1,1,1,6,121
2,1,1,6,122
1,1,4,6,123
1,2,3,6,124
2,2,1,6,125
1,1,2,6,126
2,2,2,6,127
2,2,4,6,128
2,1,3,6,129
1,1,2,6,130
1,1,4,6,131
2,2,2,6,132
2,2,2,6,133
1,2,3,6,134
1,1,4,6,135
2,1,1,6,136
2,2,3,6,137
1,1,3,6,138
1,1,2,6,139
2,2,1,6,140
1,2,1,6,141
2,1,1,6,142
1,1,4,6,143
1,2,1,6,144
2,2,4,6,145
1,1,1,6,146
2,2,4,6,147
2,2,2,6,148
2,2,2,6,149
2,1,3,6,150
1,2,3,6,151
1,2,3,6,152
2,2,2,6,153
2,2,2,6,154
1,2,1,6,155
1,1,2,6,156
2,2,1,6,157
2,2,3,6,158
2,1,1,6,159
1,1,1,6,160
1,1,4,6,161
2,2,3,6,162
2,2,2,6,163
1,1,4,6,164
2,1,3,6,165
1,1,4,6,166
1,1,2,6,167
1,2,1,6,168
2,2,4,6,169
1,1,4,6,170
1,1,4,6,171
2,2,4,6,172
2,2,1,6,173
1,1,4,6,174
1,1,1,6,175
1,2,3,6,176
2,2,4,6,177
2,1,3,6,178
2,2,2,6,179
1,1,4,6,180
1,2,1,6,181
1,2,3,6,182
2,2,2,6,183
1,2,1,6,184
1,1,3,6,185
1,1,4,6,186
1,1,4,6,187
1,1,2,6,188
2,1,3,6,189
1,1,1,6,190
2,2,4,6,191
1,1,4,6,192
1,1,2,6,193
2,2,1,6,194
1,1,2,6,195
1,1,2,6,196
2,2,3,6,197
1,1,3,6,198
2,2,1,6,199
2,1,3,6,200
