stimCategory,responseKey,condition,subject,trialNum
1,2,3,3,1
1,2,1,3,2
1,2,3,3,3
1,2,1,3,4
2,2,3,3,5
1,1,4,3,6
2,2,4,3,7
1,1,4,3,8
2,2,3,3,9
1,2,2,3,10
2,2,2,3,11
1,1,2,3,12
2,1,2,3,13
1,2,2,3,14
1,1,3,3,15
2,2,2,3,16
2,2,2,3,17
2,2,2,3,18
2,1,1,3,19
2,2,1,3,20
2,2,4,3,21
2,2,4,3,22
1,1,1,3,23
2,2,2,3,24
1,1,3,3,25
1,1,2,3,26
1,1,3,3,27
1,1,4,3,28
1,2,3,3,29
1,2,1,3,30
1,1,2,3,31
2,2,4,3,32
2,2,3,3,33
1,2,1,3,34
1,2,1,3,35
1,2,1,3,36
1,1,4,3,37
2,2,1,3,38
1,1,4,3,39
2,1,1,3,40
2,2,4,3,41
2,2,3,3,42
1,2,1,3,43
2,1,1,3,44
2,2,2,3,45
1,1,4,3,46
1,1,4,3,47
1,1,3,3,48
1,2,1,3,49
1,1,1,3,50
2,2,4,3,51
2,1,3,3,52
2,2,4,3,53
1,1,2,3,54
1,1,4,3,55
2,2,4,3,56
2,2,2,3,57
1,2,3,3,58
2,2,1,3,59
1,1,2,3,60
2,2,4,3,61
2,2,4,3,62
1,2,3,3,63
1,1,4,3,64
1,1,3,3,65
1,1,2,3,66
1,1,2,3,67
1,2,3,3,68
1,1,1,3,69
2,2,2,3,70
1,1,1,3,71
2,2,4,3,72
1,1,4,3,73
2,2,4,3,74
1,1,4,3,75
2,2,2,3,76
1,2,1,3,77
2,2,3,3,78
2,1,1,3,79
1,2,1,3,80
1,1,3,3,81
2,2,2,3,82
2,2,3,3,83
2,2,4,3,84
2,2,4,3,85
1,2,1,3,86
2,2,4,3,87
2,2,4,3,88
2,2,3,3,89
1,1,3,3,90
1,1,1,3,91
1,1,1,3,92
1,1,4,3,93
2,2,2,3,94
1,1,4,3,95
1,1,2,3,96
1,2,3,3,97
1,1,2,3,98
2,2,4,3,99
2,2,1,3,100
1,1,1,3,101
2,2,4,3,102
1,1,2,3,103
2,2,4,3,104
1,1,1,3,105
1,1,4,3,106
2,2,1,3,107
1,1,3,3,108
2,2,2,3,109
1,1,4,3,110
1,1,3,3,111
2,1,2,3,112
2,2,1,3,113
2,2,2,3,114
2,2,4,3,115
1,1,2,3,116
1,1,4,3,117
2,1,1,3,118
2,1,2,3,119
1,1,2,3,120
1,2,3,3,121
2,1,2,3,122
1,1,2,3,123
2,2,1,3,124
1,2,3,3,125
2,2,4,3,126
2,1,3,3,127
2,2,3,3,128
2,2,2,3,129
2,2,2,3,130
2,2,3,3,131
1,2,3,3,132
2,1,2,3,133
1,1,2,3,134
1,1,4,3,135
2,1,3,3,136
1,1,3,3,137
2,2,4,3,138
1,2,3,3,139
2,2,1,3,140
1,1,4,3,141
1,2,3,3,142
1,1,2,3,143
2,2,2,3,144
1,2,3,3,145
1,1,3,3,146
1,1,3,3,147
1,1,1,3,148
1,1,3,3,149
2,1,3,3,150
1,2,2,3,151
1,1,4,3,152
1,1,4,3,153
1,1,3,3,154
2,2,1,3,155
1,2,3,3,156
2,2,2,3,157
2,2,1,3,158
2,1,1,3,159
1,1,2,3,160
2,1,3,3,161
2,2,3,3,162
1,1,4,3,163
1,1,4,3,164
1,1,2,3,165
1,1,3,3,166
1,1,3,3,167
2,1,2,3,168
2,2,4,3,169
2,2,1,3,170
1,1,2,3,171
2,1,1,3,172
1,1,3,3,173
1,1,2,3,174
2,2,4,3,175
1,2,3,3,176
1,2,1,3,177
2,2,1,3,178
2,1,3,3,179
1,1,4,3,180
2,2,2,3,181
1,1,2,3,182
2,2,3,3,183
1,1,4,3,184
2,2,1,3,185
1,1,1,3,186
2,1,1,3,187
2,2,4,3,188
1,2,1,3,189
2,2,2,3,190
1,2,1,3,191
1,1,4,3,192
1,2,1,3,193
1,2,1,3,194
2,1,3,3,195
1,1,1,3,196
2,2,2,3,197
1,2,1,3,198
2,2,2,3,199
2,2,1,3,200
