stimCategory,responseKey,condition,subject,trialNum
1,2,1,2,1
2,2,4,2,2
1,1,2,2,3
1,1,3,2,4
2,1,3,2,5
2,1,3,2,6
2,1,3,2,7
2,1,3,2,8
2,2,2,2,9
2,2,2,2,10
1,2,4,2,11
1,1,1,2,12
1,2,1,2,13
2,2,4,2,14
2,1,3,2,15
2,2,4,2,16
2,2,3,2,17
1,1,1,2,18
2,1,3,2,19
1,2,3,2,20
2,2,1,2,21
1,2,1,2,22
2,1,3,2,23
2,2,4,2,24
2,2,1,2,25
2,1,1,2,26
2,2,2,2,27
2,2,4,2,28
2,2,2,2,29
2,1,1,2,30
2,2,1,2,31
1,2,1,2,32
1,2,1,2,33
1,2,1,2,34
2,2,2,2,35
2,2,4,2,36
1,2,2,2,37
2,1,3,2,38
2,2,3,2,39
2,1,1,2,40
1,1,4,2,41
2,2,1,2,42
1,2,1,2,43
1,2,3,2,44
2,2,2,2,45
1,1,2,2,46
2,2,2,2,47
2,1,1,2,48
2,1,3,2,49
2,2,4,2,50
1,2,2,2,51
2,1,3,2,52
2,2,3,2,53
1,2,1,2,54
1,1,1,2,55
1,2,3,2,56
2,1,1,2,57
2,1,1,2,58
2,2,4,2,59
1,1,3,2,60
2,1,1,2,61
1,2,1,2,62
2,2,4,2,63
1,1,1,2,64
1,1,3,2,65
2,2,3,2,66
2,2,3,2,67
2,2,1,2,68
2,1,3,2,69
1,1,2,2,70
1,1,4,2,71
1,1,2,2,72
1,1,4,2,73
1,1,4,2,74
1,2,3,2,75
2,2,2,2,76
1,1,2,2,77
1,1,2,2,78
2,1,1,2,79
2,2,4,2,80
1,1,4,2,81
1,2,1,2,82
1,1,4,2,83
2,1,4,2,84
2,2,4,2,85
1,1,3,2,86
1,2,1,2,87
1,1,4,2,88
1,1,2,2,89
2,1,1,2,90
1,1,4,2,91
1,1,2,2,92
1,1,4,2,93
1,1,2,2,94
2,1,3,2,95
1,1,4,2,96
2,2,2,2,97
1,2,3,2,98
1,2,3,2,99
2,1,3,2,100
2,2,3,2,101
2,2,4,2,102
2,2,4,2,103
1,1,4,2,104
2,1,3,2,105
1,1,4,2,106
2,2,2,2,107
1,1,2,2,108
1,1,3,2,109
1,1,4,2,110
2,1,4,2,111
2,2,2,2,112
1,1,2,2,113
2,2,4,2,114
1,1,3,2,115
1,1,4,2,116
2,1,1,2,117
1,1,4,2,118
2,1,3,2,119
2,2,2,2,120
2,2,2,2,121
2,2,4,2,122
2,2,3,2,123
2,2,2,2,124
2,2,2,2,125
1,1,4,2,126
1,1,4,2,127
1,2,1,2,128
2,2,2,2,129
1,2,1,2,130
2,2,2,2,131
2,1,4,2,132
2,2,3,2,133
1,1,2,2,134
2,2,4,2,135
1,1,3,2,136
2,1,3,2,137
2,1,1,2,138
2,2,3,2,139
2,1,1,2,140
1,1,4,2,141
1,2,1,2,142
1,1,3,2,143
1,1,3,2,144
2,2,4,2,145
1,2,1,2,146
2,2,2,2,147
1,2,2,2,148
1,2,1,2,149
1,1,3,2,150
2,2,2,2,151
2,1,3,2,152
1,2,1,2,153
2,2,2,2,154
2,1,1,2,155
2,1,3,2,156
2,2,2,2,157
1,1,4,2,158
2,2,4,2,159
1,1,3,2,160
2,2,3,2,161
2,2,2,2,162
1,1,4,2,163
1,2,4,2,164
2,2,1,2,165
1,2,1,2,166
2,2,2,2,167
1,2,1,2,168
2,2,2,2,169
1,1,2,2,170
2,1,3,2,171
2,2,1,2,172
2,1,1,2,173
2,2,4,2,174
2,2,2,2,175
1,1,3,2,176
1,1,1,2,177
1,2,3,2,178
1,1,2,2,179
1,1,4,2,180
2,2,2,2,181
1,2,1,2,182
1,1,4,2,183
2,1,3,2,184
2,2,1,2,185
2,2,4,2,186
2,2,2,2,187
1,1,2,2,188
2,1,1,2,189
2,2,2,2,190
1,2,3,2,191
2,2,2,2,192
1,1,2,2,193
2,2,4,2,194
1,1,4,2,195
1,2,1,2,196
1,1,4,2,197
1,1,2,2,198
2,2,2,2,199
1,2,1,2,200
