stimCategory,responseKey,condition,subject,trialNum
1,2,2,7,1
1,1,2,7,2
2,1,2,7,3
2,2,1,7,4
1,1,2,7,5
1,1,1,7,6
2,2,3,7,7
2,2,3,7,8
1,1,2,7,9
2,2,1,7,10
1,1,3,7,11
1,1,4,7,12
1,1,4,7,13
1,2,1,7,14
2,1,3,7,15
1,2,1,7,16
1,2,2,7,17
2,2,1,7,18
1,1,2,7,19
2,2,2,7,20
2,1,1,7,21
2,2,1,7,22
1,1,3,7,23
1,1,4,7,24
1,2,3,7,25
2,1,1,7,26
2,1,3,7,27
1,2,2,7,28
2,2,4,7,29
1,1,3,7,30
1,1,3,7,31
1,1,3,7,32
2,2,3,7,33
1,1,3,7,34
1,2,1,7,35
1,1,2,7,36
1,1,2,7,37
1,2,2,7,38
2,2,3,7,39
1,1,3,7,40
2,2,3,7,41
1,1,2,7,42
1,1,2,7,43
1,1,2,7,44
2,2,4,7,45
2,1,3,7,46
2,1,1,7,47
2,2,2,7,48
1,1,1,7,49
2,2,1,7,50
2,1,3,7,51
2,1,4,7,52
1,2,1,7,53
2,2,4,7,54
1,2,4,7,55
1,2,3,7,56
2,1,1,7,57
2,1,4,7,58
2,1,3,7,59
2,2,2,7,60
2,2,4,7,61
2,2,2,7,62
1,2,1,7,63
1,1,4,7,64
1,1,2,7,65
2,2,3,7,66
2,2,4,7,67
1,1,4,7,68
1,1,4,7,69
1,1,2,7,70
1,1,3,7,71
2,2,1,7,72
1,2,1,7,73
1,1,4,7,74
2,2,1,7,75
1,2,4,7,76
2,1,1,7,77
2,1,3,7,78
2,2,1,7,79
2,2,4,7,80
2,2,4,7,81
1,1,3,7,82
1,1,2,7,83
1,2,2,7,84
2,2,3,7,85
2,1,3,7,86
1,1,1,7,87
1,1,2,7,88
2,2,4,7,89
2,2,4,7,90
1,1,3,7,91
2,2,4,7,92
1,1,2,7,93
1,1,2,7,94
1,2,4,7,95
1,1,4,7,96
2,2,2,7,97
2,2,1,7,98
2,2,1,7,99
2,2,1,7,100
2,2,3,7,101
2,1,1,7,102
1,2,2,7,103
1,1,2,7,104
1,2,3,7,105
2,2,1,7,106
2,2,3,7,107
1,1,3,7,108
1,1,3,7,109
2,2,4,7,110
2,1,2,7,111
2,1,4,7,112
2,2,2,7,113
2,1,1,7,114
2,2,3,7,115
2,2,4,7,116
1,1,4,7,117
1,1,1,7,118
1,2,4,7,119
2,2,2,7,120
1,1,3,7,121
2,2,2,7,122
1,2,3,7,123
2,2,4,7,124
2,1,2,7,125
1,1,4,7,126
1,2,3,7,127
1,2,2,7,128
2,2,4,7,129
1,1,3,7,130
2,1,1,7,131
2,2,4,7,132
2,2,2,7,133
1,2,1,7,134
2,1,3,7,135
1,1,4,7,136
2,2,4,7,137
1,1,2,7,138
2,2,4,7,139
2,2,1,7,140
2,2,2,7,141
2,2,4,7,142
1,2,1,7,143
1,2,2,7,144
1,2,3,7,145
2,2,3,7,146
2,1,1,7,147
2,1,1,7,148
2,2,1,7,149
1,1,3,7,150
2,2,3,7,151
2,2,1,7,152
1,1,4,7,153
1,1,3,7,154
1,1,4,7,155
1,1,4,7,156
2,2,2,7,157
2,2,2,7,158
1,1,1,7,159
1,1,3,7,160
2,2,1,7,161
1,2,1,7,162
1,2,1,7,163
2,2,4,7,164
2,2,1,7,165
2,1,1,7,166
1,1,1,7,167
2,1,1,7,168
1,1,4,7,169
2,2,4,7,170
2,2,2,7,171
2,2,2,7,172
2,2,1,7,173
2,1,4,7,174
2,2,3,7,175
2,2,2,7,176
2,1,4,7,177
1,2,3,7,178
1,1,3,7,179
2,1,4,7,180
1,1,2,7,181
1,1,2,7,182
2,2,1,7,183
1,1,4,7,184
1,1,3,7,185
1,1,3,7,186
1,1,3,7,187
2,2,2,7,188
1,1,2,7,189
2,1,4,7,190
2,1,2,7,191
2,1,1,7,192
1,1,4,7,193
1,2,1,7,194
1,1,4,7,195
2,2,2,7,196
2,1,3,7,197
1,2,1,7,198
1,1,2,7,199
2,2,4,7,200
